1757-04-01,8.575000000000001,7.147,Germany
1757-05-01,12.189,3.994,Germany
1757-06-01,17.345,4.474,Germany
1757-07-01,20.889,7.582000000000002,Germany
1757-08-01,17.448,5.409,Germany
1757-09-01,12.169,9.203,Germany
1757-10-01,4.529,12.322,Germany
1757-11-01,4.239,5.674,Germany
1757-12-01,-1.3210000000000002,11.35,Germany
1758-01-01,-4.647,1.87,Germany
1758-02-01,-0.478,3.698,Germany
1758-03-01,3.3080000000000003,5.28,Germany
1758-04-01,6.312,9.31,Germany
1758-05-01,13.927,6.317,Germany
1758-06-01,16.734,6.153,Germany
1758-07-01,15.532,9.54,Germany
1758-08-01,17.088,7.917000000000002,Germany
1758-09-01,11.780999999999999,3.638,Germany
1758-10-01,6.4700000000000015,13.085,Germany
1758-11-01,3.302,10.261,Germany
1758-12-01,0.624,6.689,Germany
1759-01-01,1.416,7.277,Germany
1759-02-01,2.087,9.066,Germany
1759-03-01,4.29,3.778,Germany
1759-04-01,7.662000000000001,6.901,Germany
1759-05-01,11.564,3.654,Germany
1759-06-01,16.699,6.925,Germany
1759-07-01,19.504,5.275,Germany
1759-08-01,17.486,8.093,Germany
1759-09-01,13.549,7.115,Germany
1759-10-01,9.287,5.386,Germany
1759-11-01,0.5089999999999995,7.181,Germany
1759-12-01,-3.1,10.684,Germany
1760-01-01,-2.846,5.198,Germany
1760-02-01,-0.919,3.713,Germany
1760-03-01,2.051,10.695,Germany
1760-04-01,8.204,7.463999999999999,Germany
1760-05-01,12.8,4.544,Germany
1760-06-01,16.904,2.825,Germany
1760-07-01,17.651,4.9060000000000015,Germany
1760-08-01,16.830000000000002,9.019,Germany
1760-09-01,14.6,6.319,Germany
1760-10-01,8.617,5.739,Germany
1760-11-01,3.767,3.767,Germany
1760-12-01,2.903,3.12,Germany
1761-01-01,-1.521,8.022,Germany
1761-02-01,2.105,4.2360000000000015,Germany
1761-03-01,5.738,1.5719999999999998,Germany
1761-04-01,7.4060000000000015,4.684,Germany
1761-05-01,14.157,5.55,Germany
1761-06-01,17.555999999999997,2.364,Germany
1761-07-01,17.424,6.882999999999999,Germany
1761-08-01,18.497,3.671,Germany
1761-09-01,15.239,4.404,Germany
1761-10-01,6.216000000000001,5.806,Germany
1761-11-01,3.314,2.411,Germany
1761-12-01,-2.977,1.787,Germany
1762-01-01,0.7490000000000001,2.969,Germany
1762-02-01,-0.07,9.269,Germany
1762-03-01,0.4510000000000001,5.586,Germany
1762-04-01,10.119,4.307,Germany
1762-05-01,13.53,7.209,Germany
1762-06-01,16.432000000000002,7.524,Germany
1762-07-01,18.141,3.073,Germany
1762-08-01,15.395999999999999,3.136,Germany
1762-09-01,13.182,9.593,Germany
1762-10-01,5.893000000000002,4.715,Germany
1762-11-01,2.614,2.341,Germany
1762-12-01,-2.7660000000000005,7.112,Germany
1763-01-01,-5.591,6.877999999999999,Germany
1763-02-01,2.81,5.4289999999999985,Germany
1763-03-01,2.08,8.231,Germany
1763-04-01,6.5680000000000005,2.06,Germany
1763-05-01,11.363,3.188,Germany
1763-06-01,15.624,6.8039999999999985,Germany
1763-07-01,17.785,2.373,Germany
1763-08-01,17.915,3.46,Germany
1763-09-01,12.325,3.157,Germany
1763-10-01,6.474,7.152,Germany
1763-11-01,2.897,3.949,Germany
1763-12-01,2.295,2.346,Germany
1764-01-01,1.7960000000000005,6.0310000000000015,Germany
1764-02-01,3.19,3.4730000000000003,Germany
1764-03-01,2.133,3.829,Germany
1764-04-01,6.901000000000002,5.2029999999999985,Germany
1764-05-01,14.243,8.258,Germany
1764-06-01,14.868,3.339,Germany
1764-07-01,18.833,6.046,Germany
1764-08-01,15.753,1.569,Germany
1764-09-01,11.661,5.614,Germany
1764-10-01,6.888,3.049,Germany
1764-11-01,2.552,3.716,Germany
1764-12-01,-0.29300000000000004,4.549,Germany
1765-01-01,0.8269999999999998,11.367,Germany
1765-02-01,-2.92,4.877,Germany
1765-03-01,5.077,3.332,Germany
1765-04-01,8.158999999999999,1.857,Germany
1765-05-01,11.119000000000002,2.705,Germany
1765-06-01,16.052,3.417,Germany
1765-07-01,15.479000000000001,4.575,Germany
1765-08-01,17.361,3.164,Germany
1765-09-01,12.635000000000002,1.7919999999999998,Germany
1765-10-01,8.802,1.074,Germany
1765-11-01,3.1579999999999995,4.152,Germany
1765-12-01,-1.1340000000000001,2.68,Germany
1766-01-01,-3.7710000000000004,8.154,Germany
1766-02-01,-1.4409999999999998,4.796,Germany
1766-03-01,3.531,3.198,Germany
1766-04-01,9.285,3.901,Germany
1766-05-01,13.15,2.217,Germany
1766-06-01,16.261,8.168,Germany
1766-07-01,17.058,4.6110000000000015,Germany
1766-08-01,16.893,3.813,Germany
1766-09-01,13.937999999999999,4.265,Germany
1766-10-01,7.6579999999999995,2.247,Germany
1766-11-01,3.843,5.864,Germany
1766-12-01,-1.394,4.016,Germany
1767-01-01,-7.856000000000001,7.364,Germany
1767-02-01,2.623,8.975,Germany
1767-03-01,3.175,9.49,Germany
